label,state,amine,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
5A_EAE,5A,EAE,831.2108419558795,167.82898807611667,638.7525419507929,64,4.546471917102315,0.009999893953134916,5.9583830348780946e-05,9.492402688486086,2.4821798215207727,10.9554610569291
5A_EDA,5A,EDA,850.9228534264744,148.98970753439292,683.4335216241714,64,5.454217224167002,1.109988228797745,0.007450100058364865,12.718636311192656,3.2304210964611384,8.94614146903116
5A_INDO,5A,INDO,873.163895084472,197.1810825764347,652.4532488948938,66,5.044480295392183,0.5099945916097715,0.002586427586997747,6.713787901935533,2.0256790890369305,12.092659395077376
5A_ISBZ,5A,ISBZ,890.4637735226028,244.51104037389467,631.3331058294515,66,5.222651147089953,0.0,0.0,11.622784207972298,2.583544776169804,8.973981702382964
5A_MEPI,5A,MEPI,852.3424179987956,158.9702090695086,661.9530039410758,77,4.726421637856698,1.2099871683290697,0.007611408297261604,10.423498307816622,2.699360134829412,10.855006380017999
5A_METOX,5A,METOX,925.7014681722274,225.12834123357922,681.0635126006462,70,5.422787273008227,0.4899948037035137,0.0021765131880713564,12.656118704177755,3.1218523127033144,8.954805700880888
5A_MOR,5A,MOR,823.2015278385906,130.1992946662525,662.4229957551511,76,4.773366274956595,1.4199849413448666,0.010906241427688201,10.705675519326286,2.4842464933884028,10.799388107507333
5A_MTL,5A,MTL,881.3738694708842,197.97111941690045,656.1132638451303,64,5.217758500928728,6.059935735598496,0.030610200889136206,6.871961247790672,1.71008823243208,12.31865901501923
5A_NMA,5A,NMA,820.2233652940552,152.88121635393932,639.2828554391435,64,4.634207154907946,2.299975609220557,0.01504420009254651,6.823472732308658,2.0888247023297666,12.362978699950304
5A_OCTA,5A,OCTA,856.3223140686814,192.45016858882062,634.8928575449947,70,5.0278604942559815,7.999915162506269,0.04156876151975989,11.37348638896339,1.7,10.100748607509095
5A_OTL,5A,OTL,806.7222303651021,134.20081922138422,631.5225970880481,64,4.346354683421499,5.159945279816548,0.0384494320508167,8.631387199740523,1.7745191840331045,11.526074105165067
5A_PIP,5A,PIP,832.0022990815572,139.50010387484735,661.3629816160839,76,4.726271827614235,0.7699918343912306,0.005519650616762476,10.496551589056738,2.623578325201434,10.840829234894747
5A_THQ,5A,THQ,856.8234556531631,194.2009411579107,641.2729837072392,66,4.89015628335179,1.109988228797745,0.005715668637749699,6.822578811316626,2.139782820713043,11.66720567142013
H1_AMP,H1,AMP,826.5533383903237,162.46007284970514,664.0932655406186,80,3.8239903797439134,2.909969140361653,0.01791190345614162,8.30621440051409,3.1241940518984928,10.7397034826939
H1_BEMT,H1,BEMT,853.9144064470387,203.86107144061248,650.0533350064262,67,3.8599298368024773,1.4599845171573942,0.007161664102127059,7.7915654844319215,3.0148977665210754,11.10678671188994
H1_BENZ,H1,BENZ,917.3247785037004,276.1615292815807,641.1632492221195,67,3.743135179637252,0.8699907739225555,0.0031502967708275276,7.556457153811256,3.735717832598476,11.06878426135625
H1_BMAE,H1,BMAE,820.4534963602871,163.10026758660393,657.353228773683,64,3.9122703797740006,0.0,0.0,7.777890192634749,3.028823172692071,11.453242830827254
H1_BOX,H1,BOX,867.1928605435859,226.5898650259928,640.602995517593,73,3.7034485734444864,0.0,0.0,7.095270358784951,3.547506522539048,11.139539917294812
H1_DADP,H1,DADP,914.0625998289801,257.3195518035392,656.7430480254409,87,3.8993282797361393,3.9399582175343433,0.015311538473930113,10.717879119997688,2.032014665287327,11.046406882255978
H1_DBUA,H1,DBUA,892.1235142400935,243.6905875909133,648.4329266491801,64,3.6598041971246222,0.0,0.0,7.261020430173082,4.316918127978214,11.108763092993955
H1_DEA,H1,DEA,809.0504077378262,154.5076087176361,654.54279902019,64,3.639203460579114,0.0,0.0,7.507827486519888,3.1354891478915206,11.018241504861848
H1_DEGE,H1,DEGE,1037.601338131648,401.5085259420389,636.0928121896088,73,4.110527550738226,4.659950582159899,0.011606106174772991,14.858013496669994,1.9863485451856162,12.592036285739765
H1_DEPA,H1,DEPA,887.13330334554,228.450411846051,658.6828914994888,77,3.921642215369219,1.9199796390015031,0.008404360593997729,8.0050890180952,2.8888922103662904,11.464524584063739
H1_DETA,H1,DETA,849.3025047903249,185.1395069395545,664.1629978507706,70,3.8672826925327044,1.4899841990167868,0.008047899789985106,8.273211799621988,2.0239115340256495,11.012733905136187
H1_DMDP,H1,DMDP,919.9832574550339,286.2201899284709,633.7630675265634,93,4.0756222191584435,4.769949415644359,0.016665314270235144,10.794215994878606,2.0561912972722842,11.567653565768541
H1_DMEDA,H1,DMEDA,805.5434850611341,145.39029505925194,660.153190001882,70,4.131404711850196,1.3799853655323269,0.009491592027995622,5.272365574518608,1.9577606505065162,10.481570058185136
H1_EAE,H1,EAE,828.3220844554357,174.77912671216532,653.5429577432704,64,3.657863951980445,0.0,0.0,5.766580947035475,4.054523248744511,10.782633442889994
H1_EDA,H1,EDA,798.3031540133787,125.23968686574914,673.0634671476297,70,4.1807877915743346,7.789917389490484,0.06220007079577656,6.910259190380763,2.00307946546123,11.397011494367945
H1_INDO,H1,INDO,828.7539401786967,175.3607058254793,653.3932343532175,66,3.9829340270148843,6.829927569989727,0.038947879103468815,6.989409435157976,1.915860275509052,11.306739896997875
